regime,tenor,epe,ene
Normalization,1.75,211870.52401419106,-917931.7814542144
Normalization,1.8333333333333333,207746.0483911912,-904692.8507397815
Normalization,1.9166666666666667,203845.56979642267,-889456.8252133474
Normalization,2.0,200215.46895975503,-871400.6315390611
Normalization,2.0833333333333335,197022.54669719643,-851640.9412481983
Normalization,2.1666666666666665,193721.38624706693,-831105.1687782204
Normalization,2.25,190502.26263688793,-810280.7580026699
Normalization,2.3333333333333335,188015.6963808292,-787903.0408051105
Normalization,2.4166666666666665,186034.38676554573,-765474.4858075045
Normalization,2.5,184327.02785614145,-742427.6791383409
Normalization,2.5833333333333335,182717.6329009544,-718392.4783416394
Normalization,2.6666666666666665,181137.82748710795,-694235.0403937643
Normalization,2.75,179259.00440787058,-669203.3441446851
Normalization,2.8333333333333335,177279.33258842104,-643953.5151926884
Normalization,2.9166666666666665,174977.55214017705,-617908.158617193
Normalization,3.0,172072.41124431705,-592107.4138860723
Normalization,3.0833333333333335,168973.35154599563,-566733.3532433837
Normalization,3.1666666666666665,165381.04003763065,-541529.9086092577
Normalization,3.25,161671.70363723126,-516322.0415522835
Normalization,3.3333333333333335,157996.40597982652,-490566.02650500793
Normalization,3.4166666666666665,154238.16931628797,-464901.1431044861
Normalization,3.5,150621.82892153115,-438446.65669784026
Normalization,3.5833333333333335,147114.66903169398,-411919.07237733016
Normalization,3.6666666666666665,143329.2470361442,-386122.6474361136
Normalization,3.75,139628.48475095874,-361315.51411798876
Normalization,3.8333333333333335,135440.53782840178,-337470.7623627778
Normalization,3.9166666666666665,130228.13098215153,-313340.4682337399
Normalization,4.0,124458.54698994753,-289888.0549272157
Normalization,4.083333333333333,118180.05509675948,-267080.1283216386
Normalization,4.166666666666667,111170.87134861918,-244578.06545428344
Normalization,4.25,103559.3067736279,-222842.1423450868
Normalization,4.333333333333333,95691.35834313749,-201273.1005107774
Normalization,4.416666666666667,87176.90384942674,-180083.49204403034
Normalization,4.5,77650.2102755814,-158176.07352562432
Normalization,4.583333333333333,68048.27321792058,-136061.40428401346
Normalization,4.666666666666667,58800.19892914996,-113553.99905754178
Normalization,4.75,49108.20348376943,-91042.58664174429
Normalization,4.833333333333333,38398.698774155564,-68118.03739413415
Normalization,4.916666666666667,26269.711703760397,-45417.16408891697
Normalization,5.0,13524.270616384196,-22907.394884701007
Event-Driven Stress,0.08333333333333333,1168373.2050213793,-1202097.844392664
Event-Driven Stress,0.16666666666666666,1199953.7369405709,-1169530.1218862939
Event-Driven Stress,0.25,1227591.8678941093,-1138518.4882176921
Event-Driven Stress,0.3333333333333333,1249179.2099800103,-1111307.70043661
Event-Driven Stress,0.4166666666666667,1263443.1694338042,-1085199.7419328094
Event-Driven Stress,0.5,1272713.289745549,-1064072.2157939728
Event-Driven Stress,0.5833333333333334,1275837.9946607035,-1038679.8479818545
Event-Driven Stress,0.6666666666666666,1275992.9396330125,-1010157.5553655981
Event-Driven Stress,0.75,1272667.8463938488,-980276.3539720592
Event-Driven Stress,0.8333333333333334,1273501.8656963916,-957516.235208128
Event-Driven Stress,0.9166666666666666,1274024.6189550308,-939746.6842095322
Event-Driven Stress,1.0,1266145.5488773903,-917438.1033998623
Event-Driven Stress,1.0833333333333333,1258896.65708324,-899301.4007969857
Event-Driven Stress,1.1666666666666667,1252637.6211029359,-881700.1043953499
Event-Driven Stress,1.25,1248604.748234405,-870286.805072556
Event-Driven Stress,1.3333333333333333,1237535.8605653984,-864928.4158785079
Event-Driven Stress,1.4166666666666667,1223933.9720676371,-854225.2591953046
Event-Driven Stress,1.5,1209302.6311425527,-844491.2252997695
Event-Driven Stress,1.5833333333333333,1193905.5014114873,-835065.14787708
Event-Driven Stress,1.6666666666666667,1178032.832593092,-830092.496097254
Event-Driven Stress,1.75,1163019.7970850435,-829675.868740998
