# Financial Conditions (NFCI) (nfci)
# Source: Convex Trade (https://convextrade.com/metrics/nfci)
# License: CC BY 4.0 — attribution required
# Generated: 2026-05-21T06:55:06.415Z
# Window: last 1825 days
date,value_index
2023-11-03,-0.29329
2023-11-10,-0.30181
2023-11-17,-0.31231
2023-11-24,-0.32346
2023-12-01,-0.33384
2023-12-08,-0.34266
2023-12-15,-0.35158
2023-12-22,-0.36067
2023-12-29,-0.36902
2024-01-05,-0.37755
2024-01-12,-0.38557
2024-01-19,-0.39268
2024-01-26,-0.39888
2024-02-02,-0.40572
2024-02-09,-0.41251
2024-02-16,-0.42036
2024-02-23,-0.42845
2024-03-01,-0.43478
2024-03-08,-0.43844
2024-03-15,-0.43985
2024-03-22,-0.43796
2024-03-29,-0.43342
2024-04-05,-0.42795
2024-04-12,-0.42205
2024-04-19,-0.41692
2024-04-26,-0.41474
2024-05-03,-0.41458
2024-05-10,-0.41528
2024-05-17,-0.4156
2024-05-24,-0.41494
2024-05-31,-0.41142
2024-06-07,-0.40571
2024-06-14,-0.39852
2024-06-21,-0.39079
2024-06-28,-0.38414
2024-07-05,-0.37883
2024-07-12,-0.37339
2024-07-19,-0.3685
2024-07-26,-0.36484
2024-08-02,-0.36299
2024-08-09,-0.36417
2024-08-16,-0.37245
2024-08-23,-0.38275
2024-08-30,-0.39428
2024-09-06,-0.40554
2024-09-13,-0.41544
2024-09-20,-0.42347
2024-09-27,-0.42978
2024-10-04,-0.43405
2024-10-11,-0.43732
2024-10-18,-0.4418
2024-10-25,-0.4464
2024-11-01,-0.45247
2024-11-08,-0.46044
2024-11-15,-0.46786
2024-11-22,-0.47292
2024-11-29,-0.47634
2024-12-06,-0.47866
2024-12-13,-0.48022
2024-12-20,-0.48139
2024-12-27,-0.48542
2025-01-03,-0.49018
2025-01-10,-0.49633
2025-01-17,-0.50166
2025-01-24,-0.50669
2025-01-31,-0.50967
2025-02-07,-0.50871
2025-02-14,-0.50424
2025-02-21,-0.49483
2025-02-28,-0.48147
2025-03-07,-0.46484
2025-03-14,-0.44655
2025-03-21,-0.42866
2025-03-28,-0.4119
2025-04-04,-0.39692
2025-04-11,-0.38618
2025-04-18,-0.38659
2025-04-25,-0.39309
2025-05-02,-0.40638
2025-05-09,-0.42359
2025-05-16,-0.44104
2025-05-23,-0.4557
2025-05-30,-0.4676
2025-06-06,-0.4768
2025-06-13,-0.48431
2025-06-20,-0.49077
2025-06-27,-0.49747
2025-07-04,-0.50443
2025-07-11,-0.51094
2025-07-18,-0.51595
2025-07-25,-0.52017
2025-08-01,-0.523
2025-08-08,-0.52477
2025-08-15,-0.52727
2025-08-22,-0.52838
2025-08-29,-0.52925
2025-09-05,-0.52931
2025-09-12,-0.52941
2025-09-19,-0.52813
2025-09-26,-0.52708
2025-10-03,-0.52568
2025-10-10,-0.52341
2025-10-17,-0.51964
2025-10-24,-0.51632
2025-10-31,-0.51262
2025-11-07,-0.50934
2025-11-14,-0.5076
2025-11-21,-0.50715
2025-11-28,-0.50902
2025-12-05,-0.51239
2025-12-12,-0.51738
2025-12-19,-0.52552
2025-12-26,-0.53609
2026-01-02,-0.54614
2026-01-09,-0.55552
2026-01-16,-0.56093
2026-01-23,-0.56217
2026-01-30,-0.55938
2026-02-06,-0.55317
2026-02-13,-0.54313
2026-02-20,-0.52969
2026-02-27,-0.51349
2026-03-06,-0.487
2026-03-13,-0.472
2026-03-20,-0.461
2026-03-27,-0.459
2026-04-03,-0.45
2026-04-10,-0.464
2026-04-17,-0.479
2026-04-24,-0.492
2026-05-01,-0.505
2026-05-08,-0.516
2026-05-15,-0.523
